Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10uF,C15525
C10,0402,1,100nF,C1525
C11,0402,1,100nF,C1525
C12,0402,1,100nF,C1525
C13,0402,1,1uF,C52923
C14,0402,1,1uF,C52923
C15,0402,1,22pF,C1555
C16,0402,1,22pF,C1555
C17,0402,1,100nF,C1525
C2,0402,1,1uF,C52923
C3,0402,1,100nF,C1525
C4,0402,1,100nF,C1525
C5,0402,1,100nF,C1525
C6,0402,1,100nF,C1525
C7,0402,1,1uF,C52923
C8,0402,1,100nF,C1525
C9,0402,1,100nF,C1525
"D1, D2",D_SOD-123,2,Schottky Diode,C130880
"D3, D4, D5",LED_D3.0mm,3,LED,
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_2.2mm_M2,8,MountingHole,
J1,CON_TC2030_outlined,1,JTAG_TC2030,
J2,PinSocket_1x06_P2.54mm_Horizontal,1,Conn_01x06,
R1,0603,1,27,C25190
R10,0603,1,10k,
R2,0603,1,27,C25190
R3,0402,1,10k,C25744
R4,0402,1,1k,C11702
R5,0402,1,1k,C11702
R6,0603,1,5.6k,
R7,0603,1,1k,C25190
R8,0603,1,1k,C25190
R9,0603,1,1k,C25190
"SW10, SW12, SW14, SW16, SW19, SW20, SW23, SW25, SW26, SW29, SW3, SW30, SW32, SW35, SW37, SW39, SW41, SW5, SW6, SW8",SW_MX_1u,20,MX_SW_solder,
"SW11, SW13, SW15, SW17, SW18, SW2, SW21, SW22, SW24, SW27, SW28, SW31, SW33, SW34, SW36, SW38, SW4, SW40, SW7, SW9",SW_MX_HS_1u,20,MX_SW_HS,
"SW42, SW43",SW_PUSH_6mm,2,SW_Push,
U1,RP2040-QFN-56,1,RP2040,C2040
U2,SOT-23,1,XC6206,C5446
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
